occupation_name, career_pathway
Buyers and Purchasing Agents,  Farm Products|Agribusiness Systems
Farm Labor Contractors, Agribusiness Systems
Farmers,  Ranchers|Other Agricultural Managers|Agribusiness Systems
Animal Breeders, Animal Systems
Animal Caretakers, Animal Systems
Animal Scientists, Animal Systems
Farmworkers,  Farm| Ranch and Aquacultural Animals|Animal Systems
Environmental Engineering Technologists and Technicians, Environmental Service Systems
Environmental Engineers, Environmental Service Systems
Environmental Science and Protection Technicians Including Health, Environmental Service Systems
Hazardous Materials Removal Workers, Environmental Service Systems
Pest Control Workers, Environmental Service Systems
Refuse and Recyclable Material Collectors, Environmental Service Systems
Water and Wastewater Treatment Plant and System Operators, Environmental Service Systems
Water/Wastewater Engineers, Environmental Service Systems
Agricultural Technicians, Food Products and Processing Systems
First-Line Supervisors of Farming,  Fishing
Food Science Technicians, Food Products and Processing Systems
Food Scientists and Technologists, Food Products and Processing Systems
Graders and Sorters,  Agricultural Products
Clinical Research Coordinators, Natural Resources Systems
Fallers, Natural Resources Systems
Fishing and Hunting Workers, Natural Resources Systems
Forest and Conservation Technicians, Natural Resources Systems
Forest and Conservation Workers, Natural Resources Systems
Foresters, Natural Resources Systems
Geological Technicians,  Except Hydrologic Technicians
Hydrologic Technicians, Natural Resources Systems; Science and Mathematics
Log Graders and Scalers, Natural Resources Systems
Logging Equipment Operators, Natural Resources Systems
Logging Workers,  All Other
Natural Sciences Managers, Natural Resources Systems
Water Resource Specialists, Natural Resources Systems
Zoologists and Wildlife Biologists, Natural Resources Systems
Agricultural Workers,  All Other
Biological Technicians, Plant Systems
Farmworkers and Laborers,  Crop
Pesticide Handlers,  Sprayers
Soil and Plant Scientists, Plant Systems
Tree Trimmers and Pruners, Plant Systems
Agricultural Engineers, Power
Agricultural Equipment Operators, Power
Farm Equipment Mechanics and Service Technicians, Power
Brickmasons and Blockmasons, Construction
Carpenters, Construction
Carpet Installers, Construction
Cement Masons and Concrete Finishers, Construction
Construction Laborers, Construction
Construction Managers, Construction
Continuous Mining Machine Operators, Construction
Conveyor Operators and Tenders, Construction
Crane and Tower Operators, Construction
Derrick Operators,  Oil and Gas
Dredge Operators, Construction
Drywall and Ceiling Tile Installers, Construction
Earth Drillers,  Except Oil and Gas
Electricians, Construction
Excavating and Loading Machine and Dragline Operators,  Surface Mining
Explosives Workers,  Ordnance Handling Experts
Extraction Workers,  All Other
Fence Erectors, Construction
First-Line Supervisors of Construction Trades and Extraction Workers, Construction
Floor Layers,  Except Carpet
Floor Sanders and Finishers, Construction
Glaziers, Construction
Helpers,  Construction Trades
Helpers--Brickmasons,  Blockmasons
Helpers--Carpenters, Construction
Helpers--Electricians, Construction
Helpers--Extraction Workers, Construction
Helpers--Painters,  Paperhangers
Helpers--Pipelayers,  Plumbers
Helpers--Roofers, Construction
Hoist and Winch Operators, Construction
Insulation Workers,  Floor
Loading and Moving Machine Operators,  Underground Mining
Manufactured Building and Mobile Home Installers, Construction
Material Moving Workers,  All Other
